date,w_SPY,w_TLT,w_GLD,w_PDBC
2016-11-11,0.8059224407291051,0.19176558217876474,0.2503991476818098,0.2519128294103202
2016-11-14,0.8059224407291051,0.19176558217876474,0.2503991476818098,0.2519128294103202
2016-11-15,0.8059224407291051,0.19176558217876474,0.2503991476818098,0.2519128294103202
2016-11-16,0.8059224407291051,0.19176558217876474,0.2503991476818098,0.2519128294103202
2016-11-17,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-11-18,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-11-21,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-11-22,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-11-23,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-11-25,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-11-28,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-11-29,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-11-30,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-12-01,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-12-02,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-12-05,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-12-06,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-12-07,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242
2016-12-08,0.9763537547148915,0.20821561173750158,0.1873859954621964,0.12804463808541075
2016-12-09,0.9763537547148915,0.20821561173750158,0.1873859954621964,0.12804463808541075
2016-12-12,0.9763537547148915,0.20821561173750158,0.1873859954621964,0.12804463808541075
2016-12-13,0.9763537547148915,0.20821561173750158,0.1873859954621964,0.12804463808541075
2016-12-14,0.9763537547148915,0.20821561173750158,0.1873859954621964,0.12804463808541075
2016-12-15,0.9763537547148915,0.20821561173750158,0.1873859954621964,0.12804463808541075
2016-12-16,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-19,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-20,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-21,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-22,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-23,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-27,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-28,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-29,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2016-12-30,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2017-01-03,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2017-01-04,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2017-01-05,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2017-01-06,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2017-01-09,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2017-01-10,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2017-01-11,0.9406122624902261,0.23613007699064792,0.19104411727080783,0.13221354324831813
2017-01-12,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-13,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-17,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-18,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-19,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-20,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-23,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-24,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-25,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-26,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-27,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-30,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-01-31,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-02-01,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-02-02,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-02-03,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-02-06,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-02-07,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-02-08,0.9353320600857142,0.2349865173668766,0.1581827164136152,0.17149870613379392
2017-02-09,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-10,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-13,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-14,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-15,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-16,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-17,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-21,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-22,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-23,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-24,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-27,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-02-28,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-03-01,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
2017-03-02,0.9618862737068127,0.22073456983948667,0.15876097247212606,0.15861818398157473
