date,nav
2016-11-11,98.59169938304868
2016-11-14,98.36189063664483
2016-11-15,99.73021699395838
2016-11-16,99.42754900073372
2016-11-17,99.47258582693827
2016-11-18,99.17184425218515
2016-11-21,100.53684477999725
2016-11-22,100.68610115956822
2016-11-23,100.34048012739454
2016-11-25,100.4088357887555
2016-11-28,100.47104803593037
2016-11-29,100.19312287337702
2016-11-30,99.95818161483682
2016-12-01,99.71224669825357
2016-12-02,100.19619128360819
2016-12-05,100.7257716670918
2016-12-06,100.89606309610643
2016-12-07,102.14545813860026
2016-12-08,102.12180703824578
2016-12-09,102.33133787713955
2016-12-12,102.41615569210092
2016-12-13,103.13141035105227
2016-12-14,101.64712994782708
2016-12-15,101.8803197216458
2016-12-16,101.8372422218771
2016-12-19,102.3228852134663
2016-12-20,102.45363052752273
2016-12-21,102.25535663705708
2016-12-22,101.98301399013151
2016-12-23,102.24205527454758
2016-12-27,102.75633636019833
2016-12-28,102.1655047270439
2016-12-29,102.51734403427668
2016-12-30,102.10438415550183
2017-01-03,103.01719405169983
2017-01-04,103.7804327829637
2017-01-05,104.43400104723713
2017-01-06,104.41193141617248
2017-01-09,104.24188027254407
2017-01-10,104.23760236438095
2017-01-11,104.84662521151995
2017-01-12,104.84310722661971
2017-01-13,104.97396611912114
2017-01-17,105.13505334624331
2017-01-18,104.70831946258573
2017-01-19,104.13096406820401
2017-01-20,104.65193594954995
2017-01-23,104.7756909445693
2017-01-24,105.1919973935276
2017-01-25,105.50275587896199
2017-01-26,105.3702342767613
2017-01-27,105.21344803990253
2017-01-30,104.50471764159848
2017-01-31,104.99048515062442
2017-02-01,105.00442412282605
2017-02-02,105.17179547845008
2017-02-03,105.85001550455453
2017-02-06,105.93483384290955
2017-02-07,106.02480078948453
2017-02-08,106.66123583933988
2017-02-09,106.91553446734537
2017-02-10,107.56334697684113
2017-02-13,107.71639039253589
2017-02-14,108.04671092469529
2017-02-15,108.53602079798833
2017-02-16,108.58114381266044
2017-02-17,108.78969775881824
2017-02-21,109.39127773587197
2017-02-22,109.30116805712919
2017-02-23,109.60623757553077
2017-02-24,110.1299818185352
2017-02-27,110.01654961608367
2017-02-28,109.87788400744918
2017-03-01,110.98690202655452
2017-03-02,109.74171394865756
2017-03-03,109.9532116745998
2017-03-06,109.405011644177
2017-03-07,108.7860507821503
2017-03-08,107.95805456879114
2017-03-09,107.646413593671
2017-03-10,107.99084151025117
2017-03-13,107.84708063051842
2017-03-14,107.42068308030844
2017-03-15,109.13000720901039
2017-03-16,108.88684321334726
2017-03-17,108.93848733309993
2017-03-20,109.04485182371471
2017-03-21,108.07331845396062
2017-03-22,108.44893004176356
2017-03-23,108.22755921018923
2017-03-24,108.37098994092982
2017-03-27,108.48580308937552
2017-03-28,109.00787825654177
2017-03-29,109.46716841756624
2017-03-30,109.46880077496492
2017-03-31,109.43607143203437
2017-04-03,109.56324097909953
2017-04-04,109.69126974278299
2017-04-05,109.5200195046229
2017-04-06,109.72300854587843
2017-04-07,109.6200901219782
