Date,GLD,IEF,LQD,PDBC,SPY,TLT,^VIX
2018-03-14,125.69999694824219,84.73841857910156,87.36346435546875,8.58641242980957,242.3096466064453,95.68985748291016,17.229999542236328
2018-03-15,124.9000015258789,84.70537567138672,87.45341491699219,8.571575164794922,242.0455322265625,95.68985748291016,16.59000015258789
2018-03-16,124.5999984741211,84.60620880126953,87.55091857910156,8.621034622192383,242.30804443359375,95.34761047363281,15.800000190734863
2018-03-19,124.87000274658203,84.52359008789062,87.25848388671875,8.571575164794922,239.02957153320312,95.04520416259766,19.020000457763672
2018-03-20,124.30999755859375,84.35823822021484,86.95101928710938,8.611141204833984,239.4361114501953,94.6631851196289,18.200000762939453
2018-03-21,126.4800033569336,84.41610717773438,86.8985595703125,8.794148445129395,238.97665405273438,94.76667785644531,17.860000610351562
2018-03-22,125.9800033569336,84.76322937011719,87.04855346679688,8.724903106689453,233.0027618408203,95.70574188232422,23.34000015258789
2018-03-23,127.61000061035156,84.8789291381836,86.77107238769531,8.80403995513916,228.0364227294922,95.6341323852539,24.8700008392334
2018-03-26,128.27999877929688,84.64752197265625,87.07850646972656,8.794148445129395,234.2753143310547,95.26802825927734,21.030000686645508
2018-03-27,127.48999786376953,85.12686157226562,87.3934555053711,8.759523391723633,230.2898712158203,96.28672790527344,22.5
2018-03-28,125.7300033569336,85.11036682128906,87.62590026855469,8.724903106689453,229.60939025878906,96.54137420654297,22.8700008392334
2018-03-29,125.79000091552734,85.28390502929688,88.02330017089844,8.789202690124512,232.5432891845703,97.01092529296875,19.969999313354492
2018-04-02,127.26000213623047,85.370849609375,87.97594451904297,8.685334205627441,227.5238800048828,97.2022933959961,23.6200008392334
2018-04-03,126.30000305175781,85.09761810302734,87.74284362792969,8.705118179321289,230.44007873535156,96.45265197753906,21.100000381469727
2018-04-04,126.44999694824219,85.04798889160156,87.74284362792969,8.695226669311523,232.9055938720703,96.25325012207031,20.059999465942383
2018-04-05,125.80000305175781,84.83271789550781,87.77288818359375,8.72984790802002,234.74366760253906,95.53551483154297,18.940000534057617
