date,regime_hmm,regime_composite,w_SPY,w_TLT,w_GLD,w_PDBC,gross_exposure,target_vol,realized_port_vol,nav,daily_return,rebalanced,turnover,cost,p_risk_on,p_neutral,p_risk_off
2016-11-11,RISK_ON,RISK_ON,0.8059224407291051,0.19176558217876474,0.2503991476818098,0.2519128294103202,1.5,0.15,0.09501381767913158,98.59169938304868,-0.013333006169513145,True,1.5,0.00075,0.9999970439976584,2.9560023833335286e-06,6.191635050986978e-70
2016-11-14,RISK_ON,RISK_ON,0.8059224407291051,0.19176558217876474,0.2503991476818098,0.2519128294103202,1.5,0.15,0.09632063554515059,98.36189063664483,-0.002330913736571235,False,0.0,0.0,1.6285619141981454e-06,0.9999983714380579,1.5704362155380646e-77
2016-11-15,RISK_ON,RISK_ON,0.8059224407291051,0.19176558217876474,0.2503991476818098,0.2519128294103202,1.5,0.15,0.1070297632058603,99.73021699395838,0.013911143314317195,False,0.0,0.0,0.9999981816575362,1.8183425026949745e-06,2.3482676766901193e-65
2016-11-16,RISK_ON,RISK_ON,0.8059224407291051,0.19176558217876474,0.2503991476818098,0.2519128294103202,1.5,0.15,0.10416864967876596,99.42754900073372,-0.003034867488987702,False,0.0,0.0,1.6195438863919061e-06,0.999998380456138,8.105086979448486e-73
2016-11-17,RISK_ON,RISK_ON,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242,1.5,0.15,0.1135301730375046,99.47258582693827,0.0005572885674577379,True,0.20865464849855844,0.00010432732424927922,0.9999984206536932,1.579346288321675e-06,5.245299726944385e-72
2016-11-18,RISK_ON,RISK_ON,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242,1.5,0.15,0.11045487477587379,99.17184425218515,-0.0030233613839731753,False,0.0,0.0,1.3736780442749391e-06,0.9999986263219738,3.5558267458338885e-72
2016-11-21,RISK_ON,RISK_ON,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242,1.5,0.15,0.10710904312259519,100.53684477999725,0.013763992573749356,False,0.0,0.0,0.9999983147795877,1.685220481131602e-06,8.937037245742663e-74
2016-11-22,RISK_ON,RISK_ON,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242,1.5,0.15,0.10451595990323054,100.68610115956822,0.0014845938312225966,False,0.0,0.0,1.9789702029887065e-06,0.9999980210297081,3.0663093776028716e-74
2016-11-23,RISK_ON,RISK_ON,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242,1.5,0.15,0.11440070694866651,100.34048012739454,-0.003432658809838553,False,0.0,0.0,0.9999980140643567,1.9859356614356625e-06,1.8144434575696168e-75
2016-11-25,RISK_ON,RISK_ON,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242,1.5,0.15,0.11106537361313797,100.4088357887555,0.0006812371365392759,False,0.0,0.0,1.5801867409663578e-06,0.9999984198133213,3.2485964564431806e-84
2016-11-28,RISK_ON,RISK_ON,0.8896306889325107,0.21238465822463842,0.19659003132075847,0.20139462152209242,1.5,0.15,0.10852641753272842,100.47104803593037,0.0006195893686662957,False,0.0,0.0,0.9999983532336417,1.646766335383635e-06,2.1168940353227546e-78
